Frequency (Hz)	Level (dB)
21.533203	-28.186815
43.066406	-29.508141
64.599609	-31.274897
86.132813	-33.508274
107.666016	-35.611145
129.199219	-37.438679
150.732422	-38.600929
172.265625	-39.356918
193.798828	-39.578983
215.332031	-39.144131
236.865234	-38.701931
258.398438	-40.294502
279.931641	-40.292240
301.464844	-38.754086
322.998047	-29.191647
344.531250	-14.147317
366.064453	-11.989160
387.597656	-21.441689
409.130859	-33.372551
430.664063	-37.076653
452.197266	-40.688011
473.730469	-43.131191
495.263672	-43.321293
516.796875	-42.306847
538.330078	-42.547218
559.863281	-42.312820
581.396484	-41.775372
602.929688	-41.577583
624.462891	-41.648365
645.996094	-41.029594
667.529297	-37.283627
689.062500	-19.114218
710.595703	-8.309069
732.128906	-9.215069
753.662109	-22.058304
775.195313	-35.725655
796.728516	-38.743359
818.261719	-40.216480
839.794922	-38.285717
861.328125	-39.495373
882.861328	-40.519558
904.394531	-40.306053
925.927734	-38.280796
947.460938	-38.837864
968.994141	-39.187321
990.527344	-38.714050
1012.060547	-38.549664
1033.593750	-33.287727
1055.126953	-14.778330
1076.660156	-8.630667
1098.193359	-12.461099
1119.726563	-27.164970
1141.259766	-37.623486
1162.792969	-38.137722
1184.326172	-37.407001
1205.859375	-36.928108
1227.392578	-37.119766
1248.925781	-37.535763
1270.458984	-37.686069
1291.992188	-37.034233
1313.525391	-36.601498
1335.058594	-36.389500
1356.591797	-36.657173
1378.125000	-36.522305
1399.658203	-26.759108
1421.191406	-16.144058
1442.724609	-14.855371
1464.257813	-19.926159
1485.791016	-31.531523
1507.324219	-38.045570
1528.857422	-37.597454
1550.390625	-37.074512
1571.923828	-37.066032
1593.457031	-38.186783
1614.990234	-38.664005
1636.523438	-38.943756
1658.056641	-37.873478
1679.589844	-38.298069
1701.123047	-39.045013
1722.656250	-38.812160
1744.189453	-35.724201
1765.722656	-23.603786
1787.255859	-16.288437
1808.789063	-16.577253
1830.322266	-23.188896
1851.855469	-34.254089
1873.388672	-36.354710
1894.921875	-36.705521
1916.455078	-35.156738
1937.988281	-34.125298
1959.521484	-35.847481
1981.054688	-35.797115
2002.587891	-36.153084
2024.121094	-34.922100
2045.654297	-34.993076
2067.187500	-37.026707
2088.720703	-35.150108
2110.253906	-30.757618
2131.787109	-23.330435
2153.320313	-18.025362
2174.853516	-19.725170
2196.386719	-26.435406
2217.919922	-34.200783
2239.453125	-38.410995
2260.986328	-37.769409
2282.519531	-36.706623
2304.052734	-36.178726
2325.585938	-37.307236
2347.119141	-37.538162
2368.652344	-37.322353
2390.185547	-37.259834
2411.718750	-36.391041
2433.251953	-34.919266
2454.785156	-33.103230
2476.318359	-23.754776
2497.851563	-16.541897
2519.384766	-14.749390
2540.917969	-17.155279
2562.451172	-23.129471
2583.984375	-32.119034
2605.517578	-37.761204
2627.050781	-38.050999
2648.583984	-37.939697
2670.117188	-38.678310
2691.650391	-38.354321
2713.183594	-38.614498
2734.716797	-38.353348
2756.250000	-37.502728
2777.783203	-36.664631
2799.316406	-35.423676
2820.849609	-29.183807
2842.382813	-18.814629
2863.916016	-14.583044
2885.449219	-14.767848
2906.982422	-16.916821
2928.515625	-22.912884
2950.048828	-31.012804
2971.582031	-34.597614
2993.115234	-35.421337
3014.648438	-35.996746
3036.181641	-36.231831
3057.714844	-36.506680
3079.248047	-37.514004
3100.781250	-37.770382
3122.314453	-36.811108
3143.847656	-37.464321
3165.380859	-36.771225
3186.914063	-30.592445
3208.447266	-23.224154
3229.980469	-21.173252
3251.513672	-22.807823
3273.046875	-26.749664
3294.580078	-31.742645
3316.113281	-36.524765
3337.646484	-38.469612
3359.179688	-37.623783
3380.712891	-36.946774
3402.246094	-37.520161
3423.779297	-37.825100
3445.312500	-37.483688
3466.845703	-37.670925
3488.378906	-37.323784
3509.912109	-37.423229
3531.445313	-36.490028
3552.978516	-29.217058
3574.511719	-25.511332
3596.044922	-25.294859
3617.578125	-26.695190
3639.111328	-30.256193
3660.644531	-33.368423
3682.177734	-35.974964
3703.710938	-36.624512
3725.244141	-37.107407
3746.777344	-37.022881
3768.310547	-37.404343
3789.843750	-36.658257
3811.376953	-35.967575
3832.910156	-34.931267
3854.443359	-34.990417
3875.976563	-34.544704
3897.509766	-31.460611
3919.042969	-25.030006
3940.576172	-23.050888
3962.109375	-23.891989
3983.642578	-24.616297
4005.175781	-27.782137
4026.708984	-31.594957
4048.242188	-33.810455
4069.775391	-34.633533
4091.308594	-34.971191
4112.841797	-34.071667
4134.375000	-34.030220
4155.908203	-34.429733
4177.441406	-34.152531
4198.974609	-33.696091
4220.507813	-34.033260
4242.041016	-33.271957
4263.574219	-28.179068
4285.107422	-23.208672
4306.640625	-22.908730
4328.173828	-25.567583
4349.707031	-25.805145
4371.240234	-27.966326
4392.773438	-31.807575
4414.306641	-32.243073
4435.839844	-32.754704
4457.373047	-33.368340
4478.906250	-33.245071
4500.439453	-33.328773
4521.972656	-33.024200
4543.505859	-33.038006
4565.039063	-33.703144
4586.572266	-33.031162
4608.105469	-31.361107
4629.638672	-27.994377
4651.171875	-24.683826
4672.705078	-25.942518
4694.238281	-28.325619
4715.771484	-30.089073
4737.304688	-32.450771
4758.837891	-32.807976
4780.371094	-33.447971
4801.904297	-33.838207
4823.437500	-32.575809
4844.970703	-31.807833
4866.503906	-31.665825
4888.037109	-31.559828
4909.570313	-31.101730
4931.103516	-31.089149
4952.636719	-30.915295
4974.169922	-27.750053
4995.703125	-24.246853
5017.236328	-23.128479
5038.769531	-23.945976
5060.302734	-26.513224
5081.835938	-28.100674
5103.369141	-29.345171
5124.902344	-30.808790
5146.435547	-31.082848
5167.968750	-31.118528
5189.501953	-30.883261
5211.035156	-30.751110
5232.568359	-30.630352
5254.101563	-30.500433
5275.634766	-30.164738
5297.167969	-29.530371
